"var_name","variable_importance"
"year",0.0010701943416008
"ss_bicycle",0.000955427293959855
"ss_building",0.154922068772721
"ss_bus",0.000176216256009168
"ss_car",0.00406958725509279
"ss_fence",0.110854515890635
"ss_motorcycle",0.000108380329643604
"ss_person",0.00227594302348458
"ss_pole",0.00446963440787307
"ss_rider",0.000163171268416435
"ss_road",0.0785170301967862
"ss_sidewalk",0.00840494970746695
"ss_sky",0.00918884519612155
"ss_terrain",0.00274749236554096
"ss_traffic.light",0.00126536299014659
"ss_traffic.sign",0.023648232805258
"ss_train",0.00104545027905728
"ss_truck",0.00605729278480143
"ss_wall",0.163715684590734
"ss_visual_complexity",0.00315370689179965
"od_person_count",0.00086030175316029
"od_bicycle_count",0
"od_vehicle_count",0.0006301032249271
"X0_9",0.00489928007343478
"X10_19",0.00329986672831186
"X20_29",0.01087533749828
"X30_39",0.00698450810263739
"X40_49",0.00264805766635987
"X50_59",0.00398879481263061
"X60_69",0.0101037879284966
"X70_79",0.0209187083090679
"X80_89",0.00887418073905067
"IMD_score",0.00468900605556218
"housing_price_log",0.00273741253234133
"pop_den_log",0.0121335414994398
"lu_community_service",0.0121886233563527
"lu_defence",0.000121823924550164
"lu_industry_commerce",0.00691167186378962
"lu_minerals_landfill",0.000481378749989134
"lu_residential",0.0280221464754768
"lu_transport_utilities",0.00498032253001471
"lu_unknown_developed_use",0.0084014550727372
"lu_agriculture",0.00338067647979817
"lu_forest_open_land_water",0.204994257364844
"lu_outdoor_recreation",0.0100943957120973
"lu_residential_gardens",0.00355004184284237
"lu_undeveloped_land",0.00339243335664626
"lu_vacant",0.000963371634503979
"poi_log",0.00479960844070388
"slope",0.0372657196248048
