"var_name","variable_importance"
"age_0_19",0.0333700972808285
"age_20_39",0.0333393387638117
"age_40_59",0.0122906065111346
"age_60_90",0.00630891390480645
"lu_commerce_developped",0.00900815087160146
"lu_others",0.0059814422627085
"lu_residential_community",0.0066588071329124
"ss_curb",0.00436764060914751
"ss_sidewalk",0.257268093533617
"ss_vegetation",0.00894114759407604
"ss_guard_rail",0.0186117248418495
"ss_street_light",0.00198630306201596
"ss_parking",0.000264635039455167
"ss_curb_cut",0.000384064835673484
"ss_bench",0.000281854294189108
"ss_bike_lane",3.00444407352542e-05
"ss_pothole",9.84706083263976e-05
"ss_pedestrian_area",0
"ss_bike_rack",1.50222203676271e-05
"ss_visual_complexity",0.0389057509036047
"slope",0.00432455465916421
"ss_construction",0.100722383961097
"ss_road_flat",0.00621337867994843
"ss_marking",0.00530862093732886
"ss_nature",0.0136509867268132
"ss_street_object",0.00620849086081203
"pop_den_log",0.102074206370246
"average_income_log",0.00343177494692948
"housing_price_log",0.0211022992325879
"poi_log",0.284911979113357
"year_2016",0.000145407236008268
"year_2009",0.000671015590974745
"year_2021",0.00089236352615404
"year_2014",0.00135443417755682
"year_2018",0.000112028139116482
"year_2022",2.62888856433475e-05
"year_2010",0.000161676531248091
"year_2011",0
"year_2012",6.9890857168686e-05
"year_2019",6.9469958233311e-05
"year_2017",0.000195787972928649
"year_2015",0.00534427679323476
"year_2020",1.87777754595339e-05
"month_9",0.000425158326979112
"month_4",0.000246589608784404
"month_5",0.00127360243144112
"month_3",0.000478873720056024
"month_11",0.000119539249300295
"month_6",0.00205479865967943
"month_10",0.0001443634453661
"month_8",0.000101805264482929
"month_7",3.30676510383896e-05
"month_12",0
