"var_name","variable_importance"
"slope",0.0204970839419986
"IMD_score",0.0652205036169612
"age_0_19",0.0469133528004815
"age_20_39",0.0256950295548587
"age_40_59",0.0731819781169717
"lu_residential_community",0.0327525695672449
"lu_commerce_developed",0.0730096979678198
"ss_visual_complexity",0.0278488317526191
"ss_construction",0.0889144161253313
"ss_road_flat",0.0339765843425004
"ss_marking",0.0252723765725146
"ss_nature",0.0217268337829861
"ss_street_object",0.026894055346571
"od_person_count",0.0398722765647628
"od_vehicle_count",0.0295529457667894
"od_animal_count",0
"housing_price_log",0.023412251058758
"poi_betweenness_log",0.0118890210280426
"poi_accessibility_log",0.0326040643621101
"traffic_speed_log",0.0210834990307627
"pop_den_log",0.195259654094554
"poi_log",0.0602751081199094
"year_2012",0.00340604555793553
"year_2015",0.002322920575791
"year_2017",0.00215312903323247
"year_2019",0.00114870269517932
"year_2010",0
"year_2014",0.00013174926778402
"year_2018",7.34536381362215e-05
"year_2016",0.000800985464400098
"year_2011",0
"month_7",0.00650695636483327
"month_9",2.41804181312941e-05
"month_6",0.00173616283297086
"month_5",0.0014149166682296
"month_10",0.000645034064740008
"month_4",0.00361090812324246
"month_3",0.000172721780845406
"month_11",0
