"estimate","std.err","covariate","category"
"0.232185588695542","0.243808200478854","age_0_19","0-33%"
"0.323945881139956","0.323448538568802","age_0_19","33-66%"
"0.551481589784135","0.366788774411874","age_0_19","66-100%"
"0.148105509630836","0.346001034104525","age_20_39","0-33%"
"0.376983523482214","0.385609019579698","age_20_39","33-66%"
"0.407019091322476","0.230020322991059","age_20_39","66-100%"
"0.384703387775376","0.283716588784683","age_40_59","0-33%"
"0.456399921311699","0.287024192437262","age_40_59","33-66%"
"0.302751518782836","0.355887890060031","age_40_59","66-100%"
"0.207832769254954","0.367424585729094","IMD_score","0-33%"
"0.469533885317562","0.237704910169482","IMD_score","33-66%"
"0.41251652695983","0.334384539062545","IMD_score","66-100%"
"0.715103578496325","0.285562810167788","lu_residential_community","0-33%"
"0.386375476151635","0.302068073016022","lu_residential_community","33-66%"
"0.065675715171934","0.336356054810167","lu_residential_community","66-100%"
"0.460203765313015","0.390705828782657","lu_commerce_developed","0-33%"
"0.540460566116369","0.335236857747347","lu_commerce_developed","33-66%"
"0.266606321706158","0.248164132476237","lu_commerce_developed","66-100%"
"0.399082374696622","0.261940996815767","ss_visual_complexity","0-33%"
"0.723229866970079","0.235110036813317","ss_visual_complexity","33-66%"
"0.0157492561070007","0.4783614546557","ss_visual_complexity","66-100%"
"0.291593483528369","0.329898061111996","slope","0-33%"
"0.346745177501572","0.272793062218474","slope","33-66%"
"0.541543937449903","0.328644275314297","slope","66-100%"
"0.407084642693184","0.26054378490348","ss_construction","0-33%"
"0.796755167871547","0.4995222295962","ss_construction","33-66%"
"0.160989511629867","0.23752447746419","ss_construction","66-100%"
"0.0305777195812631","0.430320640566154","ss_road_flat","0-33%"
"0.580536654658021","0.425821312542793","ss_road_flat","33-66%"
"0.612295176335789","0.218663892776165","ss_road_flat","66-100%"
"0.851055316611808","0.587394693777629","ss_marking","0-33%"
"0.285750582859541","0.342357098666654","ss_marking","33-66%"
"0.153837909264294","0.214792026094971","ss_marking","66-100%"
"0.462579750927879","0.286583833358095","ss_nature","0-33%"
"0.425479019641062","0.315808645216715","ss_nature","33-66%"
"0.344151049502147","0.318615650205596","ss_nature","66-100%"
"0.973756706432976","0.61133415940852","ss_street_object","0-33%"
"0.287619430541136","0.3518859060565","ss_street_object","33-66%"
"0.27396468358074","0.218126192304788","ss_street_object","66-100%"
"0.127411927884321","0.667265674059998","od_person_count","0-33%"
"0.316297364380969","0.274481470458649","od_person_count","33-66%"
"0.421881674789365","0.235397083506607","od_person_count","66-100%"
"-0.0162221238461668","0.299223784917185","od_vehicle_count","0-33%"
"0.60682054401981","0.26424476319231","od_vehicle_count","33-66%"
"0.644577424740202","0.319710139285034","od_vehicle_count","66-100%"
"0.431083012113726","0.423534349280151","pop_den_log","0-33%"
"-0.378889571281936","0.345995601592491","pop_den_log","33-66%"
"0.735403030246145","0.205878331048236","pop_den_log","66-100%"
"0.794600257707371","0.334109916332293","housing_price_log","0-33%"
"0.0969703005428242","0.3371974908034","housing_price_log","33-66%"
"0.497873491718165","0.222741516175303","housing_price_log","66-100%"
"0.214712192820541","0.356665410470126","poi_log","0-33%"
"-0.00582935142573243","0.536643140104645","poi_log","33-66%"
"0.485526187080291","0.210815156005489","poi_log","66-100%"
