"var_name","variable_importance"
"age_0_19",0.0230557651845628
"age_20_39",0.0687311555099283
"age_40_59",0.233368909090766
"IMD_score",0.146659680426138
"lu_residential_community",0.0378703920151312
"lu_commerce_developed",0.0841777011373657
"ss_visual_complexity",0.0332094087849567
"ss_construction",0.0494956366921269
"ss_road_flat",0.0391746301719241
"ss_marking",0.0283813391044087
"ss_nature",0.0302750168700891
"ss_street_object",0.0470787545532734
"od_person_count",0.0122090312440396
"od_vehicle_count",0.0226625409253684
"od_animal_count",0
"pop_den_log",0.0574561487851486
"housing_price_log",0.0395246044813946
"poi_log",0.032819526620767
"year_2012",0.00455656402743465
"year_2015",0.00276582433408041
"year_2017",0.000471259725636213
"year_2019",0.000952390873042858
"year_2010",0
"year_2014",0.000198439551173141
"year_2018",0
"year_2016",0.00033253286398809
"year_2011",0
"month_7",0.00167547861723632
"month_9",5.7387538243373e-05
"month_6",0.00101352572743991
"month_5",0.00110500787090353
"month_10",0.000656142066412445
"month_4",4.34701380137359e-05
"month_3",2.17350690068679e-05
"month_11",0
